cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
Discrimination and detection of bacteria with a label-free impedimetric biosensor based on self-assembled lectin monolayer,2011,Journal of Electroanalytical Chemistry,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Conducting polymer nanostructures and their application in biosensors,2010,J Colloid Interface Sci,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
"The design, fabrication, and applications of flexible biosensing devices",2019,Biosens. Bioelectron. 124,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
An electrochemical biosensor for rapid detection of E. coli O157:H7 with highly efficient bi-functional glucose oxidase-polydopamine nanocomposites and Prussian blue modified screen-printed interdigitated electrodes,2016,Analyst,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Rapid detection of Escherichia coli O157:H7 and Salmonella Typhimurium in foods using an electrochemical immunosensor based on screen-printed interdigitated microelectrode and immunomagnetic separation,2016,Talanta,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
The boom in 3D-printed sensor technology,2017,Sensors,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Rapid detection of multiple foodborne pathogens using a nanoparticle-functionalized multi-junction biosensor,2016,Biosens. Bioelectron. 124,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Electrochemical sensors based on magnetic molecularly imprinted polymers: A review,2017,Analytica Chimica Acta,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
3-D printed adjustable microelectrode arrays for electrochemical sensing and biosensing,2016,Sensors and Actuators B: Chemical,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Detection of Escherichia coli with a label-free impedimetric biosensor based on lectin functionalized mixed selfassembled monolayer,2016,Sensor Actuat B-Chem,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Novel Coronavirus Infection in Hospitalized Infants Under 1 Year of Age in China,2020,JAMA,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
AFM and impedance spectroscopy characterization of the immobilization of antibodies on indium-tin oxide electrode through self-assembled monolayer of epoxysilane and their capture of Escherichia coli O157:H7,2005,Biosens. Bioelectron. 124,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Detection of viable Salmonella using microelectrode-based capacitance measurement coupled with immunomagnetic separation,2006,J Microbiol Methods,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Biosensor for selective detection of E. coli in spinach using the strong affinity of derivatized mannose with fimbrial lectin,2014,Biosens. Bioelectron. 124,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Recent progress on cell-based biosensors for analysis of food safety and quality control,2018,Biosens. Bioelectron. 124,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Electric field and vibrationassisted nanomolecule desorption and anti-biofouling for biosensor applications,2007,Colloids and Surfaces B: Biointerfaces,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
A Review on the Electrochemical Sensors and Biosensors Composed of Nanowires as Sensing Material,2008,Sensors (Basel),Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Development of electrochemical biosensor for detection of pathogenic microorganism in Asian dust events,2017,Chemosphere,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Optical biosensors for the detection of pathogenic microorganisms,2016,Trends in biotechnology,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
An impedimetric aptasensor for Shigella dysenteriae using a gold nanoparticle-modified glassy carbon electrode,2018,Mikrochim Acta,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Real-time potentiometric detection of bacteria in complex samples,2010,Anal. Chem,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Immediate detection of living bacteria at ultralow concentrations using a carbon nanotube based potentiometric aptasensor,2009,Angew. Chem. Int. Ed. Engl,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Label-free detection of Staphylococcus aureus in skin using real-time potentiometric biosensors based on carbon nanotubes and aptamers,2012,Biosens. Bioelectron. 124,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Carbohydrate-protein interactions and their biosensing applications,2012,Anal. Bioanal. Chem,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
The Novel Immunobiosensors for Detection of Escherichia coli O157:H7 Using Electrochemical Impedance Spectroscopy,2005,IEEE Engineering in Medicine and Biology,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Electrochemical Conversion of Fe3O4 Magnetic Nanoparticles to Electroactive Prussian Blue Analogues for Self-Sacrificial Label Biosensing of Avian Influenza Virus H5N1,2017,Anal. Chem,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Determination of Nonpoint-Source Pollution Using GIS and Numerical Models,1996,Journal of Environmental Quality -J ENVIRON QUAL,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
A disposable amperometric enzyme immunosensor for rapid detection of Vibrio parahaemolyticus in food based on agarose/Nano-Au membrane and screen-printed electrode,2007,Electrochem. Commun,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Biometallization-Based Electrochemical Magnetoimmunosensing Strategy for Avian Influenza A (H7N9) Virus Particle Detection,2015,Chem. Asian J,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Recent advances and trends of molecularly imprinted polymers for specific recognition in aqueous matrix: Preparation and application in sample pretreatment,2019,TrAC -Trends in Analytical Chemistry,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
Phage-based electrochemical biosensors for detection of pathogenic bacteria,2015,ECS Transactions,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
"Principles of bacterial detection: biosensors, recognition receptors and microsystems",2008,,Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
"Lowcost, flexible, disposable screen-printed carbon electrodes (Afonso et al. 2016). b) Free-standing graphene electrodes (Wang et al. 2013). c) Paper-based substrates for pathogen detection using electrochemical methods (Bhardwaj et al. 2017). d) Wearable wireless bacterial sensor for tooth enamel (Mannoor et al. 2012). e) Smartphone-enabled signal processing for field-based environmental monitoring",2014,State-of-the-art developments in electrochemical biosensors for pathogens. a),Electrochemical biosensors for pathogen detection,2020,Biosensors and Bioelectronics
What do the different DORSCON levels mean? Available at,2020,,Resilience of the restructured obstetric anaesthesia training program during the COVID-19 outbreak in Singapore,2020,International Journal of Obstetric Anesthesia
"SARS-Ed"": severe acute respiratory syndrome and the impact on medical education",2004,Ann Emerg Med,Resilience of the restructured obstetric anaesthesia training program during the COVID-19 outbreak in Singapore,2020,International Journal of Obstetric Anesthesia
Teleconferencing in medical education: A useful tool,2011,Aus Med J,Resilience of the restructured obstetric anaesthesia training program during the COVID-19 outbreak in Singapore,2020,International Journal of Obstetric Anesthesia
The effectiveness of webcast compared to live lectures as a teaching tool in medical school,2016,Med Teach,Resilience of the restructured obstetric anaesthesia training program during the COVID-19 outbreak in Singapore,2020,International Journal of Obstetric Anesthesia
Teaching difficult airway management: is virtual reality real enough?,2005,Intensive Care Med,Resilience of the restructured obstetric anaesthesia training program during the COVID-19 outbreak in Singapore,2020,International Journal of Obstetric Anesthesia
Overview of serious gaming and virtual reality,,,Resilience of the restructured obstetric anaesthesia training program during the COVID-19 outbreak in Singapore,2020,International Journal of Obstetric Anesthesia
"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China. Intensive Care Med",,,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
Clinical features of severe pediatric patients with coronavirus disease 2019 in Wuhan: a single center's observational study,2020,World J Pediatr,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
"Korean Society for Antimicrobial Therapy, Korean Society for Healthcare-associated Infection Control and Prevention",2020,Korea Centers for Disease Control and Prevention,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
Characteristics and outcomes of coronavirus infection in children: The role of viral factors and an immunocompromised state,2019,J Pediatric Infect Dis Soc,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
Hemophagocytic syndromes -An update,2014,Blood Rev,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
Impact of SARS on development of childhood acute lymphoblastic leukaemia,2007,Leukemia,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
Differences in infection prophylaxis measures between paediatric acute myeloid leukaemia study groups within the international Berlin-Frankfürt-Münster (I-BFM) study group,2018,Br J Haematol,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
"Detection, control, and management of a respiratory syncytial virus outbreak in a pediatric hematology-oncology department",2013,J Pediatr Hematol Oncol,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
Detection of Covid-19 in Children in Early,2020,N Engl J Med,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
Epidemiological Characteristics of 2143 Pediatric Patients With 2019 Coronavirus Disease in China,2020,Pediatrics,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
A CASE SERIES OF CHildren with 2019 novel coronavirus infection: clinical and epidemiological features,2020,Clin. Infect. Dis,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China,2019,JAMA,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
SARS-CoV-2 Infection in Children,2020,N Engl J Med,Flash Survey on SARS-CoV-2 Infections in Pediatric Patients on anti-Cancer Treatment,2020,European Journal of Cancer
COVID-19 in Singapore-Current Experience: Critical Global Issues That Require Attention and Action,,,Resilience of the restructured obstetric anaesthesia training program during the COVID-19 outbreak in Singapore,2020,International Journal of Obstetric Anesthesia
Risk of COVID-19 for patients with cancer,2020,Lancet Oncol,Conducting phase 1 cancer clinical trials during COVID-19 pandemic,2020,European Journal of Cancer
Phase I trials as valid therapeutic options for patients with cancer,2019,Nat. Rev. Clin. Oncol,Conducting phase 1 cancer clinical trials during COVID-19 pandemic,2020,European Journal of Cancer
FDA Guidance on Conduct of Clinical Trials of Medical Products during COVID-19 Pandemic,,,Conducting phase 1 cancer clinical trials during COVID-19 pandemic,2020,European Journal of Cancer
COVID-19 control in China during mass population movements at New Year,2020,Lancet,Conducting phase 1 cancer clinical trials during COVID-19 pandemic,2020,European Journal of Cancer
Disclosure of Potential Conflicts of Interest PT and DT declare no potential conflicts of,2020,N Engl J Med,Conducting phase 1 cancer clinical trials during COVID-19 pandemic,2020,European Journal of Cancer
"GC received honoraria for speaker, consultancy or advisory rule from Roche",,"Ellipses Pharma, Foundation Medicine and Samsung",Conducting phase 1 cancer clinical trials during COVID-19 pandemic,2020,European Journal of Cancer
COVID-19 in Italy: momentous decisions and many uncertainties,,,Reorganization of Medical Oncology Departments during COVID-19 Pandemic: a Nationwide Italian Survey,2020,European Journal of Cancer
The World Health Organization (WHO) Health Emergency Dashboard,2020,,Reorganization of Medical Oncology Departments during COVID-19 Pandemic: a Nationwide Italian Survey,2020,European Journal of Cancer
"Diagnosis, Treatment, and Prevention of Influenza Infection in Oncology Patients",2019,J Oncol Pract,Reorganization of Medical Oncology Departments during COVID-19 Pandemic: a Nationwide Italian Survey,2020,European Journal of Cancer
Cancer patients in SARS-CoV-2 infection: a nationwide analysis in China,2020,The Lancet Oncology,Reorganization of Medical Oncology Departments during COVID-19 Pandemic: a Nationwide Italian Survey,2020,European Journal of Cancer
Cancer patients in SARS-CoV-2 infection: a nationwide analysis in China,2020,The Lancet Oncology,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",2020,Lancet Infect. Dis,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Hepatitis B reactivation during combination chemotherapy for AIDS-related lymphoma is uncommon and does not adversely affect outcome,2004,Blood,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
A pneumonia outbreak associated with a new coronavirus of probable bat origin,2020,Nature,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Two things about COVID-19 might need attention,2020,,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
SARS-CoV-2 transmission in cancer patients of a tertiary hospital in Wuhan,,,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Lancet Lond Engl,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
On the use of corticosteroids for 2019-nCoV pneumonia,2020,Lancet,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Clinical evidence does not support corticosteroid treatment for 2019-nCoV lung injury,2020,Lancet Lond Engl,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Cytokine changes during rituximab therapy in HIV-associated multicentric Castleman disease,2009,Blood,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Immune checkpoints and their inhibition in cancer and infectious diseases,2017,Eur. J. Immunol,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Severe cytokine release syndrome in a patient receiving PD-1-directed therapy,2017,Pediatr Blood Canc,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
COVID-19: combining antiviral and anti-inflammatory treatments,2020,Lancet Infect. Dis,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Baricitinib as potential treatment for 2019-nCoV acute respiratory disease,2020,Lancet,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Effective Treatment of Severe COVID-19 Patients with Tocilizumab,2020,,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
The Treatment and Outcome of a Lung Cancer Patient Infected with SARS-CoV-2,2020,,Managing patients with cancer in the COVID-19 era,2020,European Journal of Cancer
Case-Fatality Rate and Characteristics of Patients Dying in Relation to COVID-19 in Italy,,JAMA,Conducting phase 1 cancer clinical trials during COVID-19 pandemic,2020,European Journal of Cancer
"SARS-CoV-2 Transmission in Patients With Cancer at a Tertiary Care Hospital in Wuhan, China",2020,JAMA Oncol,Reorganization of Medical Oncology Departments during COVID-19 Pandemic: a Nationwide Italian Survey,2020,European Journal of Cancer
Recent Advances in Foot and Ankle Surgery in Mainland China:Correction of Severe Foot and Ankle Deformities,2016,Foot Ankle Clin N Am,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
Foot and Ankle Surgery in India,,Ind J Orthop,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
Ankle Stability in Ankle Fracture,,,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
Osteoporotic ankle fractures: A narrative review of management options,,,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
Tarsal tunnel release restores sensations in sole for diabetic sensorimotor polyneuropathy,,,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
Charcot Foot Reconstruction Outcomes: A Systematic Review,,,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
Tibialis posterior (TP) tendon transfer for foot drop: A single center experience,,,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
Ultrasound-guided regional anaesthesia in foot and ankle surgery,,,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
"Post-operative rehabilitation in ankle, hindfoot/ midfoot fusion and reconstruction surgery. A survey of UK surgeons and allied health professionals",,,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
Working through COVID-19 Outbreak: Rapid Review and Recommendations for 14. The COVID-19 Pandemic and Clinical Orthopaedic and Trauma Surgery,,,The sub-specialty of Foot and Ankle is evolving fast,2020,Journal of Clinical Orthopaedics and Trauma
"Real Decreto 137/1984, de 11 de enero, sobre Estructuras Básicas de Salud",1984,BOE,La maldita pandemia: una oportunidad para la Atención Primaria de Salud,2020,Medicina de Familia. SEMERGEN
Marco Estratégico para la mejora de la Atención Primaria en España,,,La maldita pandemia: una oportunidad para la Atención Primaria de Salud,2020,Medicina de Familia. SEMERGEN
Proyecto AP-21 Estrategias para la mejora de la Atención Primaria Análisis de situación de la Atención Primaria,2007,,La maldita pandemia: una oportunidad para la Atención Primaria de Salud,2020,Medicina de Familia. SEMERGEN
Decálogo para una Atención Primaria de Calidad. Foro de Atención Primaria,2010,,La maldita pandemia: una oportunidad para la Atención Primaria de Salud,2020,Medicina de Familia. SEMERGEN
Nanobodies: natural single-domain antibodies,2013,Annu. Rev. Biochem,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
China Medical Treatment Expert Group for Covid-19 Clinical Characteristics of Coronavirus Disease 2019 in China,2020,N Engl J Med,La maldita pandemia: una oportunidad para la Atención Primaria de Salud,2020,Medicina de Familia. SEMERGEN
Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan China: A retrospective cohort study,,Lancet,La maldita pandemia: una oportunidad para la Atención Primaria de Salud,2020,Medicina de Familia. SEMERGEN
An interactive web-based dashboard to track COVID-19 in real time,2020,Lancet Infect. Dis,"Analysis and forecast of COVID-19 spreading in China, Italy and France",2020,"Chaos, Solitons & Fractals"
Differential evolution -A simple and efficient heuristic for global optimization over continuous spaces,1997,J Global Optim,"Analysis and forecast of COVID-19 spreading in China, Italy and France",2020,"Chaos, Solitons & Fractals"
Bats are natural reservoirs of SARS-like coronaviruses,2005,Science,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Origin and evolution of pathogenic coronaviruses,2019,Nat. Rev. Microbiol,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
A new coronavirus associated with human respiratory disease in China,2020,Nature,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
A map of human genome variation from population-scale sequencing,,Genomes Project Consortium,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
"Genome sequences of rare, uncultured bacteria obtained by differential coverage binning of multiple metagenomes",2013,Nat. Biotechnol,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
"Fulllength human immunodeficiency virus type 1 genomes from subtype C-infected seroconverters in India, with evidence of intersubtype recombination",1999,J. Virol,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Isolation and characterization of 2019-nCoVlike coronavirus from Malayan pangolins,2020,,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Identification of 2019-nCoV related coronaviruses in Malayan pangolins in southern China,2020,BioRxiv,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Structural insights into coronavirus entry,2019,Advances in Virus Research,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Isolation and characterization of a bat SARS-like coronavirus that uses the ACE2 receptor,2013,Nature,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
A 193-amino acid fragment of the SARS coronavirus S protein efficiently binds angiotensin-converting enzyme 2,2004,J. Biol. Chem,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Structural basis for the recognition of the SARS-CoV-2 by full-length human ACE2,2020,Science,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
"Host cell entry of Middle East respiratory syndrome coronavirus after two-step, furin-mediated activation of the spike protein",2014,Proc. Natl. Acad. Sci. U. S. A,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
The spike glycoprotein of the new coronavirus 2019-nCoV contains a furin-like cleavage site absent in CoV of the same clade,2020,Antiviral Res,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Trimmomatic: a flexible trimmer for Illumina sequence data,2014,Bioinformatics,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Fast gapped-read alignment with Bowtie 2,2012,Nat. Methods,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
MEGAHIT: an ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph,2015,Bioinformatics,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
BLAST+: architecture and applications,2009,BMC Bioinformatics,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
The Sequence Alignment/Map format and SAMtools,,Genome Project Data Processing Subgroup,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
MUSCLE: multiple sequence alignment with high accuracy and high throughput,2004,Nucleic Acids Res,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Clinical characteristics of 2019 novel coronavirus infection in 310,,,Guidelines for dental care provision during the COVID-19 pandemic,2020,The Saudi Dental Journal
Clinical Characteristics of Coronavirus Disease 2019 in China,,N Engl J Med,"Analysis and forecast of COVID-19 spreading in China, Italy and France",2020,"Chaos, Solitons & Fractals"
Clinical features of patients infected with 2019 novel coronavirus in Wuhan,2020,China. The Lancet,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor,2020,Cell,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Improvement of phylogenies after removing divergent and ambiguously aligned blocks from protein sequence alignments,2007,Syst. Biol,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
MEGA X: molecular evolutionary genetics analysis across computing platforms,2018,Mol. Biol. Evol,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
NCBI SRA under BioProject SRA: PRJNA573298. Raw reads were first adaptor and quality trimmed using the Trimmomatic program,,Requests for further information and data resources should be directed to and will be fulfilled by the Lead Contact,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Contigs were taxonomically annotated using BLAST 2.9.0+ [23] against 2845 CoV reference genomes (Table S1). The BatCoV RaTG13 genome was downloaded from the NGDC database,,,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
The SARS-CoV-2 reference genome was downloaded from NCBI (accession number MN908947,,,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
The species Severe acute respiratory syndrome-related coronavirus: classifying 2019-nCoV and naming it SARS-CoV-2,2020,Nat. Microbiol,Pangolins Harbor SARS-CoV-2-related Coronaviruses,2020,Trends in Microbiology
"We further used a referenceguided strategy to construct a draft genome based on contigs taxonomically annotated to SARS-CoV-2 s, SARS-CoV, and bat SARS-CoV-like CoV",2020,Other CoV genomes were downloaded from the ViPR database,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Manis javanica reference genome NCBI sequence read archive (SRA) SRA,,,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
SARS-CoV-2 reference genome GenBank GenBank,,,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
?decorator=corona Software and Algorithms Simplot,,,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
"Using MegaX (version 10.1.7) [27], we inferred all maximum likelihood (ML) phylogenetic trees",,,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
"The best model of M was GTR+G, and the best for all the others was GTR+G+I. Two additional protein-based trees were constructed under WAG+G",,"ORF1a, ORF1b, and the membrane (M), S and RdRp genes",Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
London Review of Books,2011,,"The land of the past? Neo-populism, neo-fascism, and the failure of the left in Brazil",2020,Political Geography
Coronavirus replication does not require the autophagy gene ATG5,2007,Autophagy,Manipulation of autophagy by (+) RNA viruses,2020,Seminars in Cell & Developmental Biology
Labirintos do fascismo: Na encruzilhada da ordem e da revolta,2003,,"The land of the past? Neo-populism, neo-fascism, and the failure of the left in Brazil",2020,Political Geography
"Caracterizar o governo de Jair Bolsonaro como ""fascista"" � e um erro grave'. Brasil de Fato",2019,,"The land of the past? Neo-populism, neo-fascism, and the failure of the left in Brazil",2020,Political Geography
Organizing for the anti-capitalist transition,2009,,"The land of the past? Neo-populism, neo-fascism, and the failure of the left in Brazil",2020,Political Geography
Balanço da política ambiental do Governo Lula: Grandes e duradouros impactos,2011,"Nunca antes na hist� oria desse país""…? Um balanço das políticas do governo Lula","The land of the past? Neo-populism, neo-fascism, and the failure of the left in Brazil",2020,Political Geography
The use of helmets to deliver non-invasive continuous positive airway pressure in hypoxemic acute respiratory failure,2008,Minerva Anestesiol,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
Minimise nosocomial spread of 2019-nCoV when treating acute respiratory failure,2020,Lancet,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
Effect of a heated humidifier during continuous positive airway pressure delivered by a helmet,2008,Crit. Care,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
Exhaled air dispersion distances during noninvasive ventilation via different Respironics face masks,2009,Chest,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
The comfort of patients ventilated with the Helmet Bundle,2010,Assist. Inferm. Ric,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
Water content of delivered gases during Helmet Continuous Positive Airway Pressure in healthy subjects,2019,Acta Biomed,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
How different helmet fixing options could affect patients' pain experience during helmet-continuous positive airway pressure,2019,Nurs. Crit. Care,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
Noise level and comfort in healthy subject undergoing high flow helmet CPAP,2020,General Intensive Care Unit -San Gerardo Hospital,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
"E-mail addresses: alberto.lucchini@unimib.it, a.lucchini@asst-monza",,,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
Available online xxxx,,,The “helmet bundle” in COVID-19 patients undergoing non invasive ventilation,2020,Intensive and Critical Care Nursing
Ask and it shall be given,2020,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
